N,L,r,steps,threads,gridSize,machine,wall-clock-time,task-clock,context-switches,cycles,instructions,branches,branch-misses
2000,20000.0,1.0,1000,32,16,XeS4114,19.993647513,351050.223673,488351,769240598993,772023544274,68667027998,3574602647
2000,20000.0,1.0,1000,10,64,XeS4114,23.782067949,237182.504395,427,520445598495,729289335303,67450277000,3126894577
2000,20000.0,1.0,1000,4,32,XeS4114,54.719477636,218635.26837,190,501566132260,742457161570,67596481759,3293911878
2000,20000.0,1.0,1000,21,1,XeS4114,25.45618872,458111.608803,301080,1004440637965,1044239887501,72847883802,37316976
2000,20000.0,1.0,1000,9,8,XeS4114,30.526714612,274167.909598,165,601632983738,823030145828,68953936609,3447654482
2000,20000.0,1.0,1000,7,4,XeS4114,43.288739723,302576.689979,188,691631372352,926113571398,70601322120,1961371917
2000,20000.0,1.0,1000,32,4,XeS4114,23.825477766,418909.541436,489500,918158403521,929144422118,71215033205,1905890854
2000,20000.0,1.0,1000,19,8,XeS4114,24.588966719,461096.483084,3056,1033662950197,832564598898,71658497820,3459130113
2000,20000.0,1.0,1000,7,1,XeS4114,50.653036453,354136.142697,318,810767783398,1042404116668,72485312022,24400842
2000,20000.0,1.0,1000,28,4,XeS4114,23.68558486,420431.498659,416742,921365792316,928693290353,71119689466,1902500908
2000,20000.0,1.0,1000,8,4,XeS4114,39.471866298,315285.452237,168,691894755299,926155856007,70612711452,1950930346
2000,20000.0,1.0,1000,40,4,XeS4114,24.092334192,420654.913528,630628,921732726998,930019731907,71397682362,1911334260
2000,20000.0,1.0,1000,64,8,XeS4114,22.103190417,386559.429565,1033527,846233981283,829387546945,70258858322,3501813573
